BI00B1200    O022I50308     202208117174-1849-70             COVER                    CCN000025000000025000FN00000000020220901000025000NNE   20220704121957    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    O022J50016     202209017116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020221001000030000NNE   20220704121957    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00A1200    CE22-MN-0074   202207207172-1293                SEALED                   CCN000000480000000480FN00000000020220701000000480NNE   20220704121957    1F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   202207207137-3058-80             SEALED PACKING           CCN000001920000001920FN00000000020220701000001920NNE   20220704121957    1C0C  0000019200000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   20220720X32273-PW11              SEALED COVER             CCN000000240000000240FN00000000020220701000000240NNE   20220704121957    1F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   202207207173-3295-30             SEALED LEVER             CCN000000720000000720FN00000000020220701000000720NNE   20220704121957    1F0F  0000007200000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   20220720X32273-PW92              SEALED COVER             CCN000000240000000240FN00000000020220701000000240NNE   20220704121957    1F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   202207207172-1292                SEALED                   CCN000000240000000240FN00000000020220701000000240NNE   20220704121957    1F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   202207207137-3057-80             SEALED PACKING           CCN000001920000001920FN00000000020220701000001920NNE   20220704121957    1C0C  0000019200000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   20220720X32273-PW93              SEALED COVER             CCN000000240000000240FN00000000020220701000000240NNE   20220704121957    1F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    CE22-MN-0074   202207207173-3292-30             SEALED LEVER             CCN000000720000000720FN00000000020220701000000720NNE   20220704121957    1F0F  0000007200000000000000000001200    YCYC    000000000000
BI00A1200    #CE22-MN-0074  202207207189-6524-30             SEALED FEMALE            CCN000000480000000480FN00000000020220701000000480NNE   20220704121957    2F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    #CE22-MN-0074  202207207172-5534-80             SEALED MAT SEAL          CCN000000960000000960FN00000000020220701000000960NNE   20220704121957    2H0H  0000009600000000000000000001200    YCYC    000000000000
BI00A1200    #CE22-MN-0074  202207207174-1315-30             SEALED COVER             CCN000000800000000800FN00000000020220701000000800NNE   20220704121957    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00A1200    #CE22-MN-0074  202207207189-6523-30             SEALED FEMALE            CCN000000240000000240FN00000000020220701000000240NNE   20220704121957    2F0F  0000002400000000000000000001200    YCYC    000000000000
BI00A1200    #CE22-MN-0074  202207207172-5533-80             SEALED MAT SEAL          CCN000000960000000960FN00000000020220701000000960NNE   20220704121957    2H0H  0000009600000000000000000001200    YCYC    000000000000
BI00A1200    #CE22-MN-0074  202207207174-1314-30             SEALED COVER             CCN000000800000000800FN00000000020220701000000800NNE   20220704121957    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B32AF    JTB208D        202207227298-2280-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020220801000001920NNE   20220704121957    4N0N  00000192000001068000001216032AF    HBYHVTB 005500360039
BI00B32AF    JTB2091        202208117017-1180-02             TERMINAL                 CCN000216000000216000FN00000000020220901000216000NNM   20220704121957    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2092        202208197017-1180-02             TERMINAL                 CCN000360000000360000FN00000000020220901000360000NNM   20220704121957    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2093        202208267017-1180-02             TERMINAL                 CCN000432000000432000FN00000000020220901000432000NNM   20220704121957    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2094        202209027017-1180-02             TERMINAL                 CCN000432000000432000FN00000000020220901000432000NNM   20220704121957    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2091        202208117017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020220901000063000NNM   20220704121957    4P0P  00006300000001089900001266832AF    HBYHVTB 005100280028
BI00B32AF    JTB2092        202208197017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020220901000063000NNM   20220704121957    4P0P  00006300000001089900001266832AF    HBYHVTB 005100280028
BI00B32AF    JTB2093        202208267017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020220901000063000NNM   20220704121957    4P0P  00006300000001089900001266832AF    HBYHVTB 005100280028
BI00B32AF    JTB2092        202208197017-1182-02             TERMINAL                 CCN000135000000135000FN00000000020220901000135000NNM   20220704121957    4P0P  00004500000001165500001318632AF    HBYHVTB 005100280028
BI00B32AF    JTB2093        202208267017-1182-02             TERMINAL                 CCN000090000000090000FN00000000020220901000090000NNM   20220704121957    4P0P  00004500000001165500001318632AF    HBYHVTB 005100280028
BI00B32AF    JTB2094        202209027017-1182-02             TERMINAL                 CCN000135000000135000FN00000000020220901000135000NNM   20220704121957    4P0P  00004500000001165500001318632AF    HBYHVTB 005100280028
BI00B32AF    JTB2092        202208197017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020220901000027000NNM   20220704121957    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
BI00B32AF    JTB2093        202208267017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220901000054000NNM   20220704121957    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
BI00B32AF    JTB2094        202209027017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020220901000027000NNM   20220704121957    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
BI00B32AF    JTB2092        202208197114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220901000024000NNM   20220704121957    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220901000024000NNM   20220704121957    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220901000024000NNM   20220704121957    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197114-4020                TERMINAL                 CCN000084000000084000FN00000000020220901000084000NNM   20220704121957    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267114-4020                TERMINAL                 CCN000105000000105000FN00000000020220901000105000NNM   20220704121957    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
