BI00B32DJ    GHT2209-1      20220727180D0204070              AVSSH 0.75F Y            CCN000098000000098000FN00000000020220601000098000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227014
BI00B32DJ    GHT2209-2      20220811180D0204070              AVSSH 0.75F Y            CCN000012000000012000FN00000000020220601000012000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH427011
BI00B32DJ    GHT2209-2      20220811180D0204060              AVSSH 0.75F G            CCN000001000000001000FN00000000020220601000001000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH427008
BI00B32DJ    GHT2209-1      20220727180D0204030              AVSSH 0.75F B            CCN000005000000005000FN00000000020220601000005000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227008
BI00B32DJ    GHT2209-2      20220811180D0204030              AVSSH 0.75F B            CCN000001000000001000FN00000000020220601000001000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH427006
BI00B32DJ    GHT2209-1      20220727180D0204091              AVSSH 0.75F SB           CCN000097000000097000FN00000000020220601000097000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227012
BI00B32DJ    GHT2209-2      20220811180D0204091              AVSSH 0.75F SB           CCN000011000000011000FN00000000020220601000011000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH427010
BI00B32DJ    GHT2209-1      20220727180D0204061              AVSSH 0.75F LG           CCN000010000000010000FN00000000020220601000010000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227010
BI00B32DJ    GHT2209-2      20220811180D0204061              AVSSH 0.75F LG           CCN000002000000002000FN00000000020220601000002000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH427009
BI00B32DJ    GHT2209-1      20220727180D0204092              AVSSH 0.75F V            CCN000002000000002000FN00000000020220601000002000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227013
BI00B32DJ    GHT2209-1      20220727180D0204080              AVSSH 0.75F BR           CCN000026000000026000FN00000000020220601000026000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227009
BI00B32DJ    GHT2209-2      20220811180D0204080              AVSSH 0.75F BR           CCN000007000000007000FN00000000020220601000007000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH427007
BI00B32DJ    GHT2209-2      20220811180D0204161              AVSSH 1.25F LG           CCN000000800000000800FN00000000020220601000000800NNM   20220705141525    1W    00000080000001458000000000032DJ    RBYIPLRB000000000000XH427012
BI00B32DJ    GHT2209-1      20220727180D0203752              AVSSH 0.3F P             CCN000004000000004000FN00000000020220601000004000NNM   20220705141525    1W    00000200000000515000000000032DJ    RBYIPLRB000000000000XH227004
BI00B32DJ    GHT2209-2      20220811180D0203752              AVSSH 0.3F P             CCN000002000000002000FN00000000020220601000002000NNM   20220705141525    1W    00000200000000515000000000032DJ    RBYIPLRB000000000000XH427003
BI00B32DJ    GHT2209-1      20220727180D0203761              AVSSH 0.3F LG            CCN000002000000002000FN00000000020220601000002000NNM   20220705141525    1W    00000200000000515000000000032DJ    RBYIPLRB000000000000XH227003
BI00B32DJ    GHT2209-1      20220727180D0204050              AVSSH 0.75F R            CCN000003000000003000FN00000000020220601000003000NNM   20220705141525    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227011
BI00B32DJ    GHT2209-1      20220727180D0203952              AVSSH 0.5F P             CCN000003000000003000FN00000000020220601000003000NNM   20220705141525    1W    00000150000000689000000000032DJ    RBYIPLRB000000000000XH227006
BI00B32DJ    GHT2209-1      20220727180D0203790              AVSSH 0.3F L             CCN000006000000006000FN00000000020220601000006000NNM   20220705141525    1W    00000200000000515000000000032DJ    RBYIPLRB000000000000XH227002
BI00B32DJ    GHT2209-2      20220811180D0203790              AVSSH 0.3F L             CCN000002000000002000FN00000000020220601000002000NNM   20220705141525    1W    00000200000000515000000000032DJ    RBYIPLRB000000000000XH427002
BI00B32DJ    GHT2209-1      20220727180D0203941              AVSSH 0.5F GY            CCN000003000000003000FN00000000020220601000003000NNM   20220705141525    1W    00000150000000689000000000032DJ    RBYIPLRB000000000000XH227005
BI00B32DJ    GHT2209-2      20220811180D0203941              AVSSH 0.5F GY            CCN000001500000001500FN00000000020220601000001500NNM   20220705141525    1W    00000150000000689000000000032DJ    RBYIPLRB000000000000XH427004
BI00B32DJ    GHT2209-1      20220727180D0203940              AVSSH 0.5F W             CCN000004500000004500FN00000000020220601000004500NNM   20220705141525    1W    00000150000000689000000000032DJ    RBYIPLRB000000000000XH227007
BI00B32DJ    GHT2209-2      20220811180D0203940              AVSSH 0.5F W             CCN000001500000001500FN00000000020220601000001500NNM   20220705141525    1W    00000150000000689000000000032DJ    RBYIPLRB000000000000XH427005
BI00B32DJ    @GHT2209-1     20220727181AD2017ZZ              CIVUSAS-S 0.22X3 B       CCN000026230000026230FN00000000020220601000026230NNM   20220705141527    1W    00000043000001678200000000032DJ    RBYIPLRB000000000000XH227001
BI00B32DJ    @GHT2209-2     20220811181AD2017ZZ              CIVUSAS-S 0.22X3 B       CCN000009460000009460FN00000000020220601000009460NNM   20220705141527    1W    00000043000001678200000000032DJ    RBYIPLRB000000000000XH427001
BI00B32G9    22091TMW       20220729180D0203730              AVSSH 0.3F B             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227028
BI00B32G9    22092TMW       20220805180D0203730              AVSSH 0.3F B             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT327021
BI00B32G9    22091TMW       20220729180D0203752              AVSSH 0.3F P             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227032
BI00B32G9    22091TMW       20220729180D0203761              AVSSH 0.3F LG            CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227031
BI00B32G9    22091TMW       20220729180D0203770              AVSSH 0.3F Y             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227034
BI00B32G9    22092TMW       20220805180D0203770              AVSSH 0.3F Y             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT327022
BI00B32G9    22091TMW       20220729180D0203780              AVSSH 0.3F BR            CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227029
BI00B32G9    22091TMW       20220729180D0203790              AVSSH 0.3F L             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227030
BI00B32G9    22091TMW       20220729180D0203792              AVSSH 0.3F V             CCN000002000000002000FN00000000020220901000002000NNM   20220705134925    1W    00000200000000515000000000032G9    TYTYC   000000000000LT227033
BI00B32G9    22091TMW       20220729180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT227035
BI00B32G9    22091TMW       20220729180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT227040
BI00B32G9    22092TMW       20220805180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT327023
BI00B32G9    22091TMW       20220729180D0203950              AVSSH 0.5F R             CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT227038
BI00B32G9    22091TMW       20220729180D0203960              AVSSH 0.5F G             CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT227037
BI00B32G9    22091TMW       20220729180D0203980              AVSSH 0.5F BR            CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT227036
BI00B32G9    22091TMW       20220729180D0203992              AVSSH 0.5F V             CCN000001500000001500FN00000000020220901000001500NNM   20220705134925    1W    00000150000000689000000000032G9    TYTYC   000000000000LT227039
BI00B32G9    22091TMW       20220729180D0204140              AVSSH 1.25F W            CCN000000800000000800FN00000000020220901000000800NNM   20220705134925    1W    00000080000001458000000000032G9    TYTYC   000000000000LT227041
BI00B32G9    22092TMW       20220805180D0204140              AVSSH 1.25F W            CCN000000800000000800FN00000000020220901000000800NNM   20220705134925    1W    00000080000001458000000000032G9    TYTYC   000000000000LT327024
BI00B32G9    22091TMW       20220729180D0204143              AVSSH 1.25F W/B          CCN000002400000002400FN00000000020220901000002400NNM   20220705134925    1W    00000080000001458000000000032G9    TYTYC   000000000000LT227042
BI00B32G9    22092TMW       20220805180D0204143              AVSSH 1.25F W/B          CCN000001600000001600FN00000000020220901000001600NNM   20220705134925    1W    00000080000001458000000000032G9    TYTYC   000000000000LT327025
BI00B32G9    22091TMW       2022072918007704030              AVSS 0.75F B             CCN000001000000001000FN00000000020220901000001000NNM   20220705134925    1W    00000100000000943000000000032G9    TYTYC   000000000000LT227043
BI00B32G9    22092TMW       2022080518007704030              AVSS 0.75F B             CCN000001000000001000FN00000000020220901000001000NNM   20220705134925    1W    00000100000000943000000000032G9    TYTYC   000000000000LT327026
BI00B32G9    22091TMW       202207291801W003930              IVSSH 0.5F B             CCN000003600000003600FN00000000020220901000003600NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227044
BI00B32G9    22092TMW       202208051801W003930              IVSSH 0.5F B             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT327027
BI00B32G9    22091TMW       202207291801W003940              IVSSH 0.5F W             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227051
BI00B32G9    22091TMW       202207291801W003943              IVSSH 0.5F W/B           CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227052
BI00B32G9    22091TMW       202207291801W003950              IVSSH 0.5F R             CCN000001800000001800FN00000000020220901000001800NNM   20220705134925    1W    00000180000000625000000000032G9    TYTYC   000000000000LT227048
