BI00B1200    #H322J50028    202209227282-8395-40             CONNECTOR                CCN000017000000017000FN00000000020221001000017000NNE   20220714121321    2N0N  0000010000000100900000118801200    YCYC    005500360039
BI00B1200    H322J50029     202209227283-6388-40             CONNECTOR                CCN000016000000016000FN00000000020221001000016000NNE   20220714121321    4N0N  0000020000000102900000117351200    YCYC    005500360039
BI00B32AG    XG22103KMW     202209237196-0104-02             TERMINAL                 CCN000038000000000000FY00000000020221001000000000NNMQ0820220714092059    4P0P  00003800000000570000000956432AG    XGXGY   006400630017
BI00B32AG    XG2209AIMW     202208057388-0317-60             CONNECTOR ASS'Y          CCN000001200000001200FN00000000020220901000001200NNE   20220714121321    4N0N  00000120000001034400001129332AG    XGXGY   005400370024
BI00B32AG    XG2209BLMW     202208267388-0314                CONNECTOR ASS'Y          CCN000001200000001200FN00000000020220901000001200NNE   20220714121321    4N0N  00000120000001038000001132332AG    XGXGY   005400370024
BI00B32DE    TCT209A        202208117116-2892-02             TERMINAL                 CCN000072000000072000FN00000000020220901000072000NNE   20220714121321    4P0P  00001200000000818400000981832DE    TVYEV-TV005100280028
BI00B32DE    TCT209A        202208117116-2893-02             TERMINAL                 CCN000156000000156000FN00000000020220901000156000NNE   20220714121321    4P0P  00001200000000895200001058632DE    TVYEV-TV005100280028
BI00B32DE    TCT209A        202208117116-4025                TERMINAL                 CCN000032000000032000FN00000000020220901000032000NNE   20220714121321    4P0P  00001600000000644800000975132DE    TVYEV-TV006400630017
BI00B32DE    TCT209A        202208117116-4032                TERMINAL                 CCN000012000000012000FN00000000020220901000012000NNE   20220714121321    4P0P  00000600000000532800000818032DE    TVYEV-TV006400630015
BI00B32DE    TCT209A        202208117116-5046-02             TERMINAL                 CCN000012000000012000FN00000000020220901000012000NNE   20220714121321    4P0P  00001200000000544800000873532DE    TVYEV-TV006400630017
BI00B32DE    TCT209A        202208117126-8855-02             TERMINAL                 CCN000138000000138000FN00000000020220901000138000NNE   20220714121321    4P0P  00000600000000510600000795832DE    TVYEV-TV006400630015
BI00B32DE    TCT209A        202208117283-1289-40             CONNECTOR HOUSING        CCN000004200000004200FN00000000020220901000004200NNE   20220714121321    1N0N  00000060000000679800000824832DE    TVYEV-TV005400370024
BI00B32DE    TCT209A        202208117283-6120                CONNECTOR HOUSING        CCN000003000000003000FN00000000020220901000003000NNE   20220714121321    1N0N  00000150000000914000001143032DE    TVYEV-TV005600390040
