BI00B32AF    @TTB208D       20220811181B0911741              CAVSAS 0.3X3 GY          CCN000003750000003750FN00000000020220801000003750NNE   20220719131655    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UX427001
BI00B32DE    TT2083         20220721180D0203975              AVSSH 0.5F Y/R           CCN000001500000001500FN00000000020220801000001500NNM22 20220719120259    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VT227060
BI00B32DE    TT208D         2022072118007704160              AVSS 1.25F G             CCN000005600000005600FN00000000020220801000005600NNE20 20220719120259    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS227028
BI00B32DE    TT208D         20220721180D0203949              AVSSH 0.5F W/L           CCN000004500000004500FN00000000020220801000004500NNE20 20220719120259    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VS227014
BI00B32DE    TT208D         20220721180D0203975              AVSSH 0.5F Y/R           CCN000003000000003000FN00000000020220801000003000NNE20 20220719120259    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VS227015
BI00B32DE    TT208D         20220721180D0204149              AVSSH 1.25F W/L          CCN000006400000006400FN00000000020220801000006400NNE20 20220719120259    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VS227021
BI00B32DE    TT208E         2022072118007704143              AVSS 1.25F W/B           CCN000002400000002400FN00000000020220801000002400NNE20 20220719120259    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX227048
BI00B32DE    TT208E         20220721180D0204030              AVSSH 0.75F B            CCN000001000000001000FN00000000020220801000001000NNE20 20220719120259    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VX227029
BI00A32DJ    GHT2209-1      20220721180D0204092              AVSSH 0.75F V            CCN000002000000001000FN00000000020220601000001000NNM20 20220719154536    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227013
BI00B32DJ    GHT2209-1      20220727180D0204092              AVSSH 0.75F V            CCN000001000000001000FN00000000020220601000001000NNM00 20220719145444    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH227013
BI00B32E2    @WY209A        20220803181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000000300000000300FN00000000020220901000000300NNE   20220719133712    1W    00000030000003096000000000032E2    SPYSE   000000000000KX327001
BI00B32E2    @WY209A        20220803181F21015ZZ              AVSSHCS-S 0.5FX2 B/P     CCN000000600000000600FN00000000020220901000000600NNE   20220719133712    1W    00000030000002531400000000032E2    SPYSE   000000000000KX327002
BI00B32P8    TAPAW-206Z     2022072718007703952              AVSS 0.5F P              CCN000001500000001500FN00000000020220701000001500NNE   20220719132711    1W    00000150000000674000000000032P8    YIYTM   000000000000YC227001
BI00B32P8    TAPAW-206Z     2022072718007704145              AVSS 1.25F W/R           CCN000000800000000800FN00000000020220701000000800NNE   20220719132711    1W    00000080000001389000000000032P8    YIYTM   000000000000YC227002
BI00B32P8    TAPAW-2091     2022080318000004530              AV 8 B                   CCN000018700000018700FN00000000020220901000018700NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT327078
BI00B32P8    TAPAW-2092     2022081018000004530              AV 8 B                   CCN000012500000012500FN00000000020220901000012500NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427097
BI00B32P8    TAPAW-2093     2022081718000004530              AV 8 B                   CCN000012400000012400FN00000000020220901000012400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128110
BI00B32P8    TAPAW-2094     2022082418000004530              AV 8 B                   CCN000011800000011800FN00000000020220901000011800NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT228115
BI00B32P8    TAPAW-2095     2022083118000004530              AV 8 B                   CCN000012400000012400FN00000000020220901000012400NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328118
BI00B32P8    TAPAW-2092     2022081018000004580              AV 8 BR                  CCN000000300000000300FN00000000020220901000000300NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT427098
BI00B32P8    TAPAW-2093     2022081718000004580              AV 8 BR                  CCN000000300000000300FN00000000020220901000000300NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT128111
BI00B32P8    TAPAW-2095     2022083118000004580              AV 8 BR                  CCN000000300000000300FN00000000020220901000000300NNM   20220719143334    1W    00000010000010466200000000032P8    YIYTM   000000000000YT328119
