BI00B1200    Y022I50062     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151300    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    Y022I50079     202209017289-9613-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020220901000000960NNMD0320220725151345    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    Y022I50080     202209017289-9613-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020220901000000480NNMD0320220725151403    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    Y022I50081     202209017289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151437    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52716     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020220901000001200NNMD0320220725132538    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52718     202208257289-9613-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020220901000001200NNMD0320220725132600    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52719     202209017289-9613-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020220901000000960NNMD0320220725132628    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00A1200    CE22-MN-0085   202207277196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220701000032000NNED0020220725131939    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00A1200    CE22-MN-0085   202207277195-0547-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNED0020220725131939    4P0P  0000255000000041820000076021200    YCYC    006400630015
BI00B1200    Y122G05N       202207277288-3332-30             HOUSING MALE             CCN000001500000001500FN00000000020220801000001500NNEM0020220725143528    4N0N  0000015000000086070000100571200    YCYC    005400370024
BI00B1200    Y122G05N       202207277288-3338-30             HOUSING MALE             CCN000001500000001500FN00000000020220801000001500NNEM0020220725143528    4N0N  0000015000000086610000101201200    YCYC    005400370024
BI00B1200    2399T52821     202209227116-4112-02             TERMINAL                 CCN000060000000060000FN00000000020221001000060000NNE   20220725121513    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52822     202209297116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020221001000048000NNE   20220725121513    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52806     202209017116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220725121513    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52807     202209087116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220725121513    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52808     202209157116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220725121513    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52806     202209017158-3022-80             RUBBER STOPPER           CCN000105000000105000FN00000000020221001000105000NNM   20220725121513    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52807     202209087158-3022-80             RUBBER STOPPER           CCN000105000000105000FN00000000020221001000105000NNM   20220725121513    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52808     202209157158-3022-80             RUBBER STOPPER           CCN000105000000105000FN00000000020221001000105000NNM   20220725121513    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52806     202209017172-5540-80             SEALED WIRE SEAL         CCN000160000000160000FN00000000020221001000160000NNM   20220725121513    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52807     202209087172-5540-80             SEALED WIRE SEAL         CCN000160000000160000FN00000000020221001000160000NNM   20220725121513    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52808     202209157172-5540-80             SEALED WIRE SEAL         CCN000160000000160000FN00000000020221001000160000NNM   20220725121513    1C0C  0000200000000018600000023441200    YCYC    004300270014
