BI00B32H8    @2207AKMW      20220728181B32102Y9              AVSSCS 0.5FX2 DGY/P      CCN000000300000000300FY00000030020220701000000000NNE30 20220727143749    1W    00000030000002903000000000032H8    TYTYC   000000000000LG326001
BI00B32M8    PM2208B MW     202208171801W004043              IVSSH 0.75F W/B          CCN000003900000003900FN00000000020220801000003900NNE   20220727092824    1W    00000130000000882000000000032M8    PMPEMI  000000000000IB128003
BI00B32M8    PM2208B MW     2022081718007703970              AVSS 0.5F Y              CCN000001500000001500FN00000000020220801000001500NNE   20220727092824    1W    00000150000000674000000000032M8    PMPEMI  000000000000IB128001
BI00B32M8    PM2208B MW     2022081718007704140              AVSS 1.25F W             CCN000000800000000800FN00000000020220801000000800NNE   20220727092824    1W    00000080000001389000000000032M8    PMPEMI  000000000000IB128002
BI00B32M8    @PM2208B MW    20220817181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000002500000002500FN00000000020220801000002500NNE   20220727100712    1W    00000050000001780000000000032M8    PMPEMI  000000000000IB128004
BI00B32M8    @PM2208B MW    20220817181B32039S1              AVSSCS 0.5FX1 DGY        CCN000000400000000400FN00000000020220801000000400NNE   20220727100712    1W    00000040000002289000000000032M8    PMPEMI  000000000000IB128005
BI00B32M8    @PM2208B MW    20220817181F21008ZZ              AVSSHCS-S 0.5FX1 B/V     CCN000003200000003200FN00000000020220801000003200NNE   20220727100712    1W    00000040000001908400000000032M8    PMPEMI  000000000000IB128006
BI00B32M8    PM2208CTMW     202208171801W004061              IVSSH 0.75F LG           CCN000002600000002600FN00000000020220801000002600NNE   20220727092824    1W    00000130000000882000000000032M8    PMPEMI  000000000000IC128001
BI00B32W4    @4500197103    20220906181D6910239              AVSSHCS 0.5FX2 B/L       CCN000017400000017400FN00000000020220901000017400NNE   20220727101112W4A21W    00000030000002385000000000032W4A2  HJYHK-J 000000000000OJ428001
BI00B32W4    @4500197133    20221004181B32116S1              AVSSCS 0.3FX2 DGY        CCN000001050000001050FN00000000020221001000001050NNE   20220727101123W4171W    00000035000002276000000000032W417  HJYHK-J 000000000000OK329002
BI00B32W4    @4500197133    20221004181B32037Y5              AVSSCS 0.3FX1 DGY/W      CCN000001000000001000FN00000000020221001000001000NNE   20220727101123W4171W    00000050000001780000000000032W417  HJYHK-J 000000000000OK329001
BI00B32W4    4500197320     2022083018018404130              CAVS 1.25 B              CCN000003200000003200FN00000000020220801000003200NNE   20220727101339W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OA328001
BI00B32W4    4500197327     2022081618018403970              CAVS 0.5 Y               CCN000004500000004500FN00000000020220801000004500NNE   20220727101343W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OL128001
BI00B32W4    4500197329     2022083018018403780              CAVS 0.3 BR              CCN000002000000002000FN00000000020220801000002000NNE   20220727101345W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OB328001
BI00B32W4    4500197329     2022083018018403950              CAVS 0.5 R               CCN000001500000001500FN00000000020220801000001500NNE   20220727101345W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB328004
BI00B32W4    4500197329     2022083018018403952              CAVS 0.5 P               CCN000012000000012000FN00000000020220801000012000NNE   20220727101345W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB328003
BI00B32W4    4500197329     2022083018018403970              CAVS 0.5 Y               CCN000007500000007500FN00000000020220801000007500NNE   20220727101345W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB328006
BI00B32W4    4500197329     2022083018018403990              CAVS 0.5 L               CCN000015000000015000FN00000000020220801000015000NNE   20220727101345W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB328002
BI00B32W4    4500197329     2022083018018403992              CAVS 0.5 V               CCN000009000000009000FN00000000020220801000009000NNE   20220727101345W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB328005
