BI00B1200    2399T52824     202210207116-4100-02             TERMINAL                 CCN000090000000090000FN00000000020221101000090000NNE   20220801121755    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B32A7    #ZZ22101LMW    202209077157-7812                SEAL RUBBER              CCN000020000000020000FN00000000020221001000020000NNMD0420220801132804    2C0C  00001000000000137000000202032A7    ZZZZY   002700430014
BI00B32B1    A22042         202209237114-4032                TERMINAL                 CCN000007500000007500FN00000000020221201000007500NNM   20220801121755B1  4P0P  00000750000000735000001063632B1    AXARNE-M006400630017
BI00B32B1    A22042         202209237282-5553-30             CONNECTOR                CCN000001000000001000FN00000000020221201000001000NNM   20220801121755B1  4N0N  00000100000001010000001187332B1    AXARNE-M005500360039
BI00B32B1    #A22042        202209237158-3376-50             CONNECTOR WIRE SEAL      CCN000160000000160000FN00000000020221201000160000NNM   20220801121755B1  2C0C  00002000000000184000000240732B1    AXARNE-M002700430014
BI00B32B1    #A22042        202209237283-8226-30             CONNECTOR                CCN000010000000010000FN00000000020221201000010000NNM   20220801121755B1  2N0N  00000200000000820000001008032B1    AXARNE-M005400370024
BI00B32B6    A72042         202209237116-4037                TERMINAL                 CCN000012000000012000FN00000000020221201000012000NNM   20220801121755B6  4P0P  00000600000000600000000894232B6    AXARNE-M006400630015
BI00B32B6    A72042         202209237017-1180-02             TERMINAL                 CCN000144000000144000FN00000000020221201000144000NNM   20220801121755B6  4P0P  00007200000001065600001229032B6    AXARNE-M005100280028
BI00B32B6    A72042         202209237017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020221201000063000NNM   20220801121755B6  4P0P  00006300000001089900001266832B6    AXARNE-M005100280028
BI00B32B6    A72042         202209237017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020221201000045000NNM   20220801121755B6  4P0P  00004500000001165500001318632B6    AXARNE-M005100280028
BI00B32B6    A72042         202209237017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221201000027000NNM   20220801121755B6  4P0P  00002700000001139400001307432B6    AXARNE-M005100280028
BI00B32B6    A72042         202209237158-3166-60             WIRE SEAL                CCN000320000000320000FN00000000020221201000320000NNM   20220801121755B6  1C0C  00004000000000104000000152432B6    AXARNE-M002700430014
