BI00B32DE    TT2094         20220901180D0204080              AVSSH 0.75F BR           CCN000015000000007000FN00000000020220901000007000NNM00 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00A32DE    TT209A         2022082318007704180              AVSS 1.25F BR            CCN000000800000000800FN00000000020220901000000800NNE20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX228053
BI00A32DE    TT209B         2022082418007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020220901000003200NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128016
BI00A32DE    TT209B         2022082418007704192              AVSS 1.25F V             CCN000001600000001600FN00000000020220901000001600NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128017
BI00A32DE    TT209B         20220823180D0203970              AVSSH 0.5F Y             CCN000010500000010500FN00000000020220901000010500NNE22 20220817120422    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VW128009
BI00B32DE    TT2102         2022091518007704152              AVSS 1.25F P             CCN000002400000001600FN00000000020221001000001600NNM00 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DE    TT2104         20220824180D0204192              AVSSH 1.25F V            CCN000003200000003200FN00000000020221001000003200NNM20 20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VT229086
BI00B32DE    @TT210A        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000400000000200FN00000000020221001000000200NNE00 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00B32DE    TT210B         2022090818007703760              AVSS 0.3F G              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428004
BI00B32DE    TT210B         2022090818007703741              AVSS 0.3F GY             CCN000002000000002000FN00000000020221001000002000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428005
BI00B32DE    TT210B         2022090818007703750              AVSS 0.3F R              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428006
BI00B32DE    TT210B         2022090818007704190              AVSS 1.25F L             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428007
BI00B32DE    TT210B         2022090818007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428008
BI00B32DE    TT210B         2022090818007704192              AVSS 1.25F V             CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428009
BI00B32DE    TT210B         20220908180D0204060              AVSSH 0.75F G            CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VS428002
BI00B32DE    TT210B         20220908180D0204192              AVSSH 1.25F V            CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VS428003
BI00B32DE    @TT210B        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VS428001
BI00A32DE    TT2094         20220823180D0204080              AVSSH 0.75F BR           CCN000002000000002000FN00000000020220901000002000NNM28 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00B32DE    TT210C         2022091518007704180              AVSS 1.25F BR            CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528003
BI00B32DE    TT210C         2022091518007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528004
BI00B32DE    @TT210C        20220915181F21002ZZ              AVSSHCS-S 0.5FX1 B       CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000040000001908400000000032DE    TVYEV-TV000000000000VX528001
BI00B32DE    @TT210C        20220915181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VX528002
BI00A32DE    @TT210A        20220824181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE20 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00A32DE    TT2102         2022082418007704152              AVSS 1.25F P             CCN000000800000000800FN00000000020221001000000800NNM20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DJ    GHT2210-1      20220819180D0204030              AVSSH 0.75F B            CCN000003000000003000FN00000000020221001000003000NNM21 20220817142015    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH328002
BI00B32M1    TV208C         2022090118007703730              AVSS 0.3F B              CCN000010000000006000FN00000000020220801000006000NNE00 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328002
BI00B32M1    TV208C         2022090118007703760              AVSS 0.3F G              CCN000004000000002000FN00000000020220801000002000NNE00 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328003
BI00B32M1    TV208C         2022090118007703752              AVSS 0.3F P              CCN000008000000004000FN00000000020220801000004000NNE00 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328004
BI00B32M1    TV208C         2022090118007703750              AVSS 0.3F R              CCN000006000000004000FN00000000020220801000004000NNE00 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328005
BI00B32M1    TV208C         2022090118007703792              AVSS 0.3F V              CCN000016000000010000FN00000000020220801000010000NNE00 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328006
BI00B32M1    TV208C         2022090118007703930              AVSS 0.5F B              CCN000004500000001500FN00000000020220801000001500NNE00 20220817120422    1W    00000150000000674000000000032M1    VNYEV   000000000000VC328007
BI00B32M1    TV208C         2022090118007703941              AVSS 0.5F GY             CCN000010500000006000FN00000000020220801000006000NNE00 20220817120422    1W    00000150000000674000000000032M1    VNYEV   000000000000VC328008
BI00B32M1    TV208C         2022090118007703990              AVSS 0.5F L              CCN000004500000001500FN00000000020220801000001500NNE00 20220817120422    1W    00000150000000674000000000032M1    VNYEV   000000000000VC328009
BI00A32M1    TV208C         2022081918007703730              AVSS 0.3F B              CCN000004000000004000FN00000000020220801000004000NNE20 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328002
BI00A32M1    TV208C         2022081918007703760              AVSS 0.3F G              CCN000002000000002000FN00000000020220801000002000NNE20 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328003
BI00A32M1    TV208C         2022081918007703752              AVSS 0.3F P              CCN000004000000004000FN00000000020220801000004000NNE20 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328004
BI00A32M1    TV208C         2022081918007703750              AVSS 0.3F R              CCN000002000000002000FN00000000020220801000002000NNE20 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328005
BI00A32M1    TV208C         2022081918007703792              AVSS 0.3F V              CCN000006000000006000FN00000000020220801000006000NNE20 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328006
BI00A32M1    TV208C         2022081918007703930              AVSS 0.5F B              CCN000003000000003000FN00000000020220801000003000NNE20 20220817120422    1W    00000150000000674000000000032M1    VNYEV   000000000000VC328007
BI00A32M1    TV208C         2022081918007703941              AVSS 0.5F GY             CCN000004500000004500FN00000000020220801000004500NNE20 20220817120422    1W    00000150000000674000000000032M1    VNYEV   000000000000VC328008
BI00A32M1    TV208C         2022081918007703990              AVSS 0.5F L              CCN000003000000003000FN00000000020220801000003000NNE20 20220817120422    1W    00000150000000674000000000032M1    VNYEV   000000000000VC328009
BI00A32M8    PM22102 MW     202208181801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020221001000001300NNM20 20220817134204    1W    00000130000000882000000000032M8    PMPEMI  000000000000IM528047
BI00A32M8    PM22103 MW     202208181801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020221001000001300NNM20 20220817134204    1W    00000130000000882000000000032M8    PMPEMI  000000000000IM129041
BI00B32M8    @PM22102 MW    20220914181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000001500000001000FN00000000020221001000001000NNM00 20220817120422    1W    00000050000001780000000000032M8    PMPEMI  000000000000IM528006
BI00A32M8    @PM22103 MW    20220818181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000001500000001500FN00000000020221001000001500NNM20 20220817134204    1W    00000050000001780000000000032M8    PMPEMI  000000000000IM129002
BI00A32M8    @PM22103 MW    20220818181F21008ZZ              AVSSHCS-S 0.5FX1 B/V     CCN000001600000001600FN00000000020221001000001600NNM20 20220817134204    1W    00000040000001908400000000032M8    PMPEMI  000000000000IM129007
BI00A32M8    @PM22102 MW    20220818181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000000500000000500FN00000000020221001000000500NNM20 20220817134204    1W    00000050000001780000000000032M8    PMPEMI  000000000000IM528006
BI00B32U5    @DW2043        20220923181F21027ZZ              AVSSHCS-S 1.25FX2 B      CCN000006400000006400FN00000000020221201000006400NNE   20220817134337U5  1W    00000020000004267300000000032U5    ASAMSD  000000000000AM129007
BI00B32W4    4500198767     2022092018018403792              CAVS 0.3 V               CCN000010000000010000FN00000000020220901000010000NNE   20220817135326W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OS129001
BI00B32W4    4500198767     2022092018018403930              CAVS 0.5 B               CCN000006000000006000FN00000000020220901000006000NNE   20220817135326W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OS129002
