BI00B32CJ    TTQ209H        202209091801W004091              IVSSH 0.75F SB           CCN000002600000002600FN00000000020220901000002600NNE   20220822085940    1W    00000130000000882000000000032CJ    QNYHVQN 000000000000UO428001
BI00B32CJ    @TTQ209H       20220916181E48032ZZ              CAVSAS-S 0.3X2 GY/P      CCN000001050000001050FN00000000020220901000001050NNE   20220822085940    1W    00000035000002008700000000032CJ    QNYHVQN 000000000000UP528002
BI00B32CJ    @TTQ209H       20220916181AD2010ZZ              CIVUSAS-S 0.5X4 B        CCN000002500000002500FN00000000020220901000002500NNE   20220822085940    1W    00000025000003214000000000032CJ    QNYHVQN 000000000000UP528001
BI00B32DE    TT209B         2022082518007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020220901000003200NNE00 20220822141032    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128016
BI00B32DE    TT209B         2022082518007704192              AVSS 1.25F V             CCN000001600000001600FN00000000020220901000001600NNE00 20220822141032    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128017
BI00B32DE    TT2102         2022091518007704152              AVSS 1.25F P             CCN000002400000002400FN00000000020221001000002400NNM00 20220822114929    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00B32DE    TT2104         20220929180D0204192              AVSSH 1.25F V            CCN000003200000003200FN00000000020221001000003200NNM00 20220822114824    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VT229086
BI00B32DE    @TT210A        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000400000000200FN00000000020221001000000200NNE00 20220822114750    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00A32DE    @TT210A        20220823181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE20 20220822114750    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00A32DE    TT2102         2022082418007704152              AVSS 1.25F P             CCN000000800000000000FY00000000020221001000000000NNM10 20220822114929    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00B32G7    @JW2210B MW    20220915181E48032ZZ              CAVSAS-S 0.3X2 GY/P      CCN000000350000000350FN00000000020221001000000350NNE   20220822093648    1W    00000035000002008700000000032G7    JIJAI   000000000000JU528001
BI00B32G7    JW2210BMMW     202209151801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020221001000001300NNE   20220822093649    1W    00000130000000882000000000032G7    JIJAI   000000000000JV528010
BI00B32G7    JW2210BMMW     202209151801W004050              IVSSH 0.75F R            CCN000003900000003900FN00000000020221001000003900NNE   20220822093649    1W    00000130000000882000000000032G7    JIJAI   000000000000JV528011
BI00B32G7    JW2210BMMW     202209151801W004070              IVSSH 0.75F Y            CCN000001300000001300FN00000000020221001000001300NNE   20220822093649    1W    00000130000000882000000000032G7    JIJAI   000000000000JV528012
BI00B32H2    TAW2094        2022090218000004530              AV 8 B                   CCN000002400000001100FN00000000020220901000001100NNM00 20220822105101    1W    00000010000010466200000000032H2    HVYHV   000000000000UH328061
BI00B32H2    TAW2094        20220902180D0203930              AVSSH 0.5F B             CCN000003000000001500FN00000000020220901000001500NNM00 20220822105101    1W    00000150000000689000000000032H2    HVYHV   000000000000UH328058
BI00B32H2    TAW2094        20220902180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020220901000001500NNM00 20220822105101    1W    00000150000000689000000000032H2    HVYHV   000000000000UH328060
BI00B32H2    TAW2102        2022091618000004530              AV 8 B                   CCN000001300000000000FY00000000020221001000000000NNM11 20220822094414    1W    00000010000010466200000000032H2    HVYHV   000000000000UH528054
BI00B32H2    TAW2103        2022092318000004530              AV 8 B                   CCN000002600000000200FN00000000020221001000000200NNM11 20220822094718    1W    00000010000010466200000000032H2    HVYHV   000000000000UH129060
BI00B32H2    TAW2102        2022091618000004540              AV 8 W                   CCN000001400000000000FY00000000020221001000000000NNM11 20220822094429    1W    00000010000010466200000000032H2    HVYHV   000000000000UH528055
BI00B32H2    TAW2103        20220923180D0203930              AVSSH 0.5F B             CCN000004500000001500FN00000000020221001000001500NNM11 20220822094803    1W    00000150000000689000000000032H2    HVYHV   000000000000UH129055
