BI00A32D9    C225A          202209021801W006980              IVSSH 0.35F BR           CCN000005000000005000FN00000000020220901000005000NNE   20220823151125    1W    00000250000000452000000000032D9    UEHESTO 000000000000HM328002
BI00A32D9    C225A          20220902180D0203730              AVSSH 0.3F B             CCN000004000000004000FN00000000020220901000004000NNE   20220823151125    1W    00000200000000515000000000032D9    UEHESTO 000000000000HM328001
BI00B32H2    TAW2102        20220916180D0203943              AVSSH 0.5F W/B           CCN000003000000001500FN00000000020221001000001500NNM12 20220823133519    1W    00000150000000689000000000032H2    HVYHV   000000000000UH528052
BI00A32H8    @2209BKMW      20220824181B0910241              CAVSAS 0.5X2 GY          CCN000003600000003600FN00000000020220901000003600NNE   20220823131538    1W    00000030000002680000000000032H8    TYTYC   000000000000LR228001
BI00B32H8    @2209CKMW      20220916181B0910241              CAVSAS 0.5X2 GY          CCN000003300000003300FN00000000020220901000003300NNE   20220823130852    1W    00000030000002680000000000032H8    TYTYC   000000000000LS528001
BI00B32Q8    @EW2209CNMW    20220831181AD2008ZZ              CIVUSAS-S 0.5X2 B        CCN000000400000000400FN00000000020220901000000400NNE   20220823145340    1W    00000040000002028000000000032Q8    EMEMI   000000000000MA328001
BI00B32W4    @4500199064    20220920181E50002ZZ              AVSSCS-S 0.3FX2 DGY/G    CCN000008750000008750FN00000000020220801000008750NNE   20220823100127W4591W    00000035000002165000000000032W459  HJYHK-J 000000000000OT129001
BI00B32W4    4500199038     2022101818018403791              CAVS 0.3 SB              CCN000006000000006000FN00000000020221001000006000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A008
BI00B32W4    4500199038     2022101818018403740              CAVS 0.3 W               CCN000020000000020000FN00000000020221001000020000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A010
BI00B32W4    4500199038     2022101818018403730              CAVS 0.3 B               CCN000002000000002000FN00000000020221001000002000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A002
BI00B32W4    4500199038     2022101818018403752              CAVS 0.3 P               CCN000010000000010000FN00000000020221001000010000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A007
BI00B32W4    4500199038     2022101818018403760              CAVS 0.3 G               CCN000012000000012000FN00000000020221001000012000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A004
BI00B32W4    4500199038     2022101818018403770              CAVS 0.3 Y               CCN000008000000008000FN00000000020221001000008000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A011
BI00B32W4    4500199038     2022101818018403780              CAVS 0.3 BR              CCN000008000000008000FN00000000020221001000008000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A003
BI00B32W4    4500199038     2022101818018403790              CAVS 0.3 L               CCN000016000000016000FN00000000020221001000016000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A005
BI00B32W4    4500199038     2022101818018403792              CAVS 0.3 V               CCN000008000000008000FN00000000020221001000008000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A009
BI00B32W4    4500199038     2022101818018403761              CAVS 0.3 LG              CCN000002000000002000FN00000000020221001000002000NNE   20220823100129W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OA12A006
