BI00A1200    #7242T52905    202209237189-3031-30             HOUSING FEMALE           CCN000002400000002400FN00000000020221001000002400NNE   20220825122421    2F0F  0000024000000092880000136581200    YCYC    005500360039
BI00B1200    O022J50508     202210207298-1187-30             SHUNT RING ASSEMBLY      CCN000040000000040000FN00000000020221101000040000NNE   20220825122421    4N0N  0000100000000064700000076951200    YCYC    005400370024
BI00B1200    O022L50006     202211037116-4112-02             TERMINAL                 CCN000036000000036000FN00000000020221101000036000NNE   20220825122421    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52909     202210067116-4100-02             TERMINAL                 CCN000240000000240000FN00000000020221101000240000NNM   20220825122421    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52910     202210067116-4100-02             TERMINAL                 CCN000240000000240000FN00000000020221101000240000NNM   20220825122421    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52911     202210207116-4100-02             TERMINAL                 CCN000225000000225000FN00000000020221101000225000NNM   20220825122421    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52909     202210067116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221101000007500NNM   20220825122421    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52910     202210067116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221101000007500NNM   20220825122421    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52911     202210207116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221101000007500NNM   20220825122421    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52909     202210067158-3022-80             RUBBER STOPPER           CCN000070000000070000FN00000000020221101000070000NNM   20220825122421    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52910     202210067158-3022-80             RUBBER STOPPER           CCN000065000000065000FN00000000020221101000065000NNM   20220825122421    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52911     202210207158-3022-80             RUBBER STOPPER           CCN000065000000065000FN00000000020221101000065000NNM   20220825122421    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52909     202210067172-5540-80             SEALED WIRE SEAL         CCN000460000000460000FN00000000020221101000460000NNM   20220825122421    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52910     202210067172-5540-80             SEALED WIRE SEAL         CCN000460000000460000FN00000000020221101000460000NNM   20220825122421    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52911     202210207172-5540-80             SEALED WIRE SEAL         CCN000460000000460000FN00000000020221101000460000NNM   20220825122421    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52909     202210067173-3291-40             LIF LEVER                CCN000012000000012000FN00000000020221101000012000NNM   20220825122421    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52910     202210067173-3291-40             LIF LEVER                CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52911     202210207173-3291-40             LIF LEVER                CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52909    202210067124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020221101000003000NNM   20220825122421    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52910    202210067124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020221101000003000NNM   20220825122421    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52911    202210207124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020221101000003000NNM   20220825122421    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52909    202210067154-5328-30             RELAY BLOCK              CCN000001000000001000FN00000000020221101000001000NNM   20220825122421    2F0F  0000010000000121200000136191200    YCYC    005600390040
BI00B1200    #2399T52909    202210067154-8273                RELAY BLOCK              CCN000001000000001000FN00000000020221101000001000NNM   20220825122421    2F0F  0000010000000052300000067251200    YCYC    005500360039
BI00B1200    #2399T52909    202210067173-3225-10             LIF LEVER                CCN000021600000021600FN00000000020221101000021600NNM   20220825122421    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52910    202210067173-3225-10             LIF LEVER                CCN000021600000021600FN00000000020221101000021600NNM   20220825122421    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52911    202210207173-3225-10             LIF LEVER                CCN000020800000020800FN00000000020221101000020800NNM   20220825122421    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52909    202210067174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020221101000001600NNM   20220825122421    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52910    202210067174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020221101000000800NNM   20220825122421    2F0F  0000008000000056070000067911200    YCYC    005500360039
