BI00A32N3    NBT210 E       20220901180D0203970              AVSSH 0.5F Y             CCN000001500000001500FN00000000020220901000001500NNE   20220831141422    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XE528001
BI00B32U5    @DW2044        20220930181AD2016ZZ              CIVUSAS-S 0.22X2 B       CCN000003000000003000FN00000000020221201000003000NNE   20220831132044U5  1W    00000050000001360800000000032U5    ASAMSD  000000000000AM229006
BI00B32U5    @DW2044        20220930181AD2017ZZ              CIVUSAS-S 0.22X3 B       CCN000001720000001720FN00000000020221201000001720NNE   20220831132044U5  1W    00000043000001678200000000032U5    ASAMSD  000000000000AM229007
BI00B32W4    4500199524     2022092018009604030              AVS 0.85 B               CCN000001000000001000FN00000000020220901000001000NNE   20220831084622W42 1W    00000100000001167700000000032W42   HJYHK-J 000000000000OU129012
BI00B32W4    4500199524     2022092018009604150              AVS 1.25 R               CCN000000800000000800FN00000000020220901000000800NNE   20220831084622W42 1W    00000080000001643000000000032W42   HJYHK-J 000000000000OU129013
BI00B32W4    4500199524     2022092018009604330              AVS 3 B                  CCN000000800000000800FN00000000020220901000000800NNE   20220831084622W42 1W    00000040000003831600000000032W42   HJYHK-J 000000000000OU129014
BI00B32W4    4500199524     2022092018007703930              AVSS 0.5F B              CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OU129001
BI00B32W4    4500199524     2022092018007703960              AVSS 0.5F G              CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OU129002
BI00B32W4    4500199524     2022092018007703965              AVSS 0.5F G/R            CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OU129003
BI00B32W4    4500199524     2022092018007703990              AVSS 0.5F L              CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OU129004
BI00B32W4    4500199524     2022092018007703995              AVSS 0.5F L/R            CCN000001500000001500FN00000000020220901000001500NNE   20220831084622W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OU129005
BI00B32W4    4500199524     2022092018007703970              AVSS 0.5F Y              CCN000003000000003000FN00000000020220901000003000NNE   20220831084622W42 1W    00000150000000674000000000032W42   HJYHK-J 000000000000OU129006
BI00B32W4    4500199524     2022092018007704130              AVSS 1.25F B             CCN000007200000007200FN00000000020220901000007200NNE   20220831084622W42 1W    00000080000001389000000000032W42   HJYHK-J 000000000000OU129007
BI00B32W4    4500199524     2022092018007704151              AVSS 1.25F O             CCN000006400000006400FN00000000020220901000006400NNE   20220831084622W42 1W    00000080000001389000000000032W42   HJYHK-J 000000000000OU129008
BI00B32W4    4500199524     2022092018007704150              AVSS 1.25F R             CCN000001600000001600FN00000000020220901000001600NNE   20220831084622W42 1W    00000080000001389000000000032W42   HJYHK-J 000000000000OU129009
BI00B32W4    4500199524     2022092018007704230              AVSS 2F B                CCN000004000000004000FN00000000020220901000004000NNE   20220831084622W42 1W    00000050000002126400000000032W42   HJYHK-J 000000000000OU129010
BI00B32W4    4500199524     2022092018007704250              AVSS 2F R                CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000050000002126400000000032W42   HJYHK-J 000000000000OU129011
BI00B32W4    4500199524     2022092018018403730              CAVS 0.3 B               CCN000012000000012000FN00000000020220901000012000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129015
BI00B32W4    4500199524     2022092018018403739              CAVS 0.3 B/L             CCN000004000000004000FN00000000020220901000004000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129016
BI00B32W4    4500199524     2022092018018403735              CAVS 0.3 B/R             CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129017
BI00B32W4    4500199524     2022092018018403734              CAVS 0.3 B/W             CCN000006000000006000FN00000000020220901000006000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129018
BI00B32W4    4500199524     2022092018018403760              CAVS 0.3 G               CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129019
BI00B32W4    4500199524     2022092018018403763              CAVS 0.3 G/B             CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129020
BI00B32W4    4500199524     2022092018018403790              CAVS 0.3 L               CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129021
BI00B32W4    4500199524     2022092018018403751              CAVS 0.3 O               CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129022
BI00B32W4    4500199524     2022092018018403756              CAVS 0.3 R/G             CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129023
BI00B32W4    4500199524     2022092018018403757              CAVS 0.3 R/Y             CCN000004000000004000FN00000000020220901000004000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129024
BI00B32W4    4500199524     2022092018018403745              CAVS 0.3 W/R             CCN000002000000002000FN00000000020220901000002000NNE   20220831084622W42 1W    00000200000000471000000000032W42   HJYHK-J 000000000000OU129025
BI00B32W4    4500199524     2022092018018403930              CAVS 0.5 B               CCN000025500000025500FN00000000020220901000025500NNE   20220831084622W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OU129026
