BI00B1200    H322J50026     202209157298-4094-10             HOUSING FEMALE ASS'Y     CCN000006760000003380FN00000000020221001000003380NNEQ0020220901121518    4N0N  0000033800000109740000135871200    YCYC    005400370024
BI00B1200    8670T52901     202210277137-3047-30             UNIT PACKING             CCN000006000000006000FN00000000020221101000006000NNM   20220901121518    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    8670T52902     202211037137-3047-30             UNIT PACKING             CCN000005000000005000FN00000000020221101000005000NNM   20220901121518    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    8670T52903     202211177137-3047-30             UNIT PACKING             CCN000005000000005000FN00000000020221101000005000NNM   20220901121518    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    8670T52901     202210277172-5402-30             SEAL RUBBER              CCN000016000000016000FN00000000020221101000016000NNM   20220901121518    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    8670T52902     202211037172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020221101000008000NNM   20220901121518    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    8670T52903     202211177172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020221101000008000NNM   20220901121518    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    8670T52901     202210277172-5403-30             SEALED PACKING           CCN000012000000012000FN00000000020221101000012000NNM   20220901121518    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    8670T52902     202211037172-5403-30             SEALED PACKING           CCN000008000000008000FN00000000020221101000008000NNM   20220901121518    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    8670T52903     202211177172-5403-30             SEALED PACKING           CCN000008000000008000FN00000000020221101000008000NNM   20220901121518    1C0C  0000040000000065360000070171200    YCYC    004300270014
BI00B1200    8670T52901     202210277196-1103-02             TERMINAL                 CCN000022500000022500FN00000000020221101000022500NNM   20220901121518    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    8670T52902     202211037196-1103-02             TERMINAL                 CCN000022500000022500FN00000000020221101000022500NNM   20220901121518    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    8670T52903     202211177196-1103-02             TERMINAL                 CCN000022500000022500FN00000000020221101000022500NNM   20220901121518    4P0P  0000225000000042980000071501200    YCYC    006400630015
