BI00B32AF    @TTB210G       20220916181AD2022ZZ              CIVUSAS-S 0.35X2 B(R,G)  CCN000001350000001350FN00000000020221001000001350NNE   20220906163252    1W    00000045000001714000000000032AF    HBYHVTB 000000000000UU528001
BI00B32CH    @SJ2209AMMW    20220915181E50004ZZ              AVSSCS-S 0.5FX1 DGY      CCN000000400000000400FN00000000020220901000000400NNE   20220906101232    1W    00000040000001909700000000032CH    SJSAMIJF000000000000QV528001
BI00B32CH    SJ22112 MW     2022100618007703930              AVSS 0.5F B              CCN000010500000010500FN00000000020221101000010500NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX329004
BI00B32CH    SJ22113 MW     2022101218007703930              AVSS 0.5F B              CCN000012000000012000FN00000000020221101000012000NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX429006
BI00B32CH    SJ22114 MW     2022102018007703930              AVSS 0.5F B              CCN000012000000012000FN00000000020221101000012000NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX12A006
BI00B32CH    SJ22115 MW     2022102718007703930              AVSS 0.5F B              CCN000013500000013500FN00000000020221101000013500NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX22A006
BI00B32CH    SJ22112 MW     2022100618007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020221101000001500NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX329005
BI00B32CH    SJ22114 MW     2022102018007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020221101000001500NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX12A007
BI00B32CH    SJ22115 MW     2022102718007703941              AVSS 0.5F GY             CCN000001500000001500FN00000000020221101000001500NNM   20220906103928    1W    00000150000000674000000000032CH    SJSAMIJF000000000000QX22A007
BI00B32CH    @SJ22111 MW    20220929181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000001500000001500FN00000000020221101000001500NNM   20220906103923    1W    00000030000003096000000000032CH    SJSAMIJF000000000000QX229001
BI00B32CH    @SJ22112 MW    20221006181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000001200000001200FN00000000020221101000001200NNM   20220906103923    1W    00000030000003096000000000032CH    SJSAMIJF000000000000QX329001
BI00B32CH    @SJ22113 MW    20221012181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000001200000001200FN00000000020221101000001200NNM   20220906103923    1W    00000030000003096000000000032CH    SJSAMIJF000000000000QX429001
BI00B32CH    @SJ22114 MW    20221020181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000000900000000900FN00000000020221101000000900NNM   20220906103923    1W    00000030000003096000000000032CH    SJSAMIJF000000000000QX12A001
BI00B32CH    @SJ22115 MW    20221027181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000000900000000900FN00000000020221101000000900NNM   20220906103923    1W    00000030000003096000000000032CH    SJSAMIJF000000000000QX22A001
BI00B32CH    @SJ22113 MW    20221012181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000012600000012600FN00000000020221101000012600NNM   20220906103923    1W    00000030000002531400000000032CH    SJSAMIJF000000000000QX429002
BI00B32CH    @SJ22114 MW    20221020181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000018900000018900FN00000000020221101000018900NNM   20220906103923    1W    00000030000002531400000000032CH    SJSAMIJF000000000000QX12A002
BI00B32CH    @SJ22115 MW    20221027181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000020400000020400FN00000000020221101000020400NNM   20220906103923    1W    00000030000002531400000000032CH    SJSAMIJF000000000000QX22A002
BI00B32CH    @SJ22111DMW    20220929181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000004000000004000FN00000000020221101000004000NNM   20220906103924    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY229001
BI00B32CH    @SJ22112DMW    20221006181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000003000000003000FN00000000020221101000003000NNM   20220906103924    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY329001
BI00B32CH    @SJ22113DMW    20221012181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000003000000003000FN00000000020221101000003000NNM   20220906103924    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY429001
BI00B32CH    @SJ22114DMW    20221020181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000004000000004000FN00000000020221101000004000NNM   20220906103924    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY12A001
BI00B32CH    @SJ22115DMW    20221027181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000003000000003000FN00000000020221101000003000NNM   20220906103924    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY22A001
BI00B32CH    SJ22111HMW     2022092918007704030              AVSS 0.75F B             CCN000002000000002000FN00000000020221101000002000NNM   20220906103930    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW229001
BI00B32CH    SJ22112HMW     2022100618007704030              AVSS 0.75F B             CCN000001000000001000FN00000000020221101000001000NNM   20220906103930    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW329001
BI00B32CH    SJ22113HMW     2022101218007704030              AVSS 0.75F B             CCN000001000000001000FN00000000020221101000001000NNM   20220906103930    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW429001
BI00B32CH    SJ22114HMW     2022102018007704030              AVSS 0.75F B             CCN000001000000001000FN00000000020221101000001000NNM   20220906103930    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW12A001
BI00B32CH    SJ22115HMW     2022102718007704030              AVSS 0.75F B             CCN000002000000002000FN00000000020221101000002000NNM   20220906103930    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW22A001
BI00B32CH    SJ22111HMW     2022092918007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020221101000000800NNM   20220906103930    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW229002
BI00B32CH    SJ22112HMW     2022100618007704130              AVSS 1.25F B             CCN000004000000004000FN00000000020221101000004000NNM   20220906103930    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW329002
BI00B32CH    SJ22113HMW     2022101218007704130              AVSS 1.25F B             CCN000003200000003200FN00000000020221101000003200NNM   20220906103930    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW429002
BI00B32CH    SJ22114HMW     2022102018007704130              AVSS 1.25F B             CCN000003200000003200FN00000000020221101000003200NNM   20220906103930    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW12A002
BI00B32CH    SJ22115HMW     2022102718007704130              AVSS 1.25F B             CCN000003200000003200FN00000000020221101000003200NNM   20220906103930    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW22A002
BI00B32CH    @SJ22112MMW    20221006181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000000600000000600FN00000000020221101000000600NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ329001
BI00B32CH    @SJ22113MMW    20221012181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ429001
BI00B32CH    @SJ22114MMW    20221020181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ12A001
BI00B32CH    @SJ22115MMW    20221027181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ22A001
BI00B32CH    @SJ22111MMW    20220929181E48062ZZ              CAVSAS-S 0.5X2 GY/BR     CCN000000600000000600FN00000000020221101000000600NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ229001
BI00B32CH    @SJ22112MMW    20221006181E48062ZZ              CAVSAS-S 0.5X2 GY/BR     CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ329002
BI00B32CH    @SJ22113MMW    20221012181E48062ZZ              CAVSAS-S 0.5X2 GY/BR     CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ429002
BI00B32CH    @SJ22114MMW    20221020181E48062ZZ              CAVSAS-S 0.5X2 GY/BR     CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ12A002
BI00B32CH    @SJ22115MMW    20221027181E48062ZZ              CAVSAS-S 0.5X2 GY/BR     CCN000000300000000300FN00000000020221101000000300NNM   20220906103925    1W    00000030000002561000000000032CH    SJSAMIJF000000000000QZ22A002
BI00B32CH    @SJ22112SMW    20221006181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000001500000001500FN00000000020221101000001500NNM   20220906103927    1W    00000050000001529500000000032CH    SJSAMIJF000000000000QS329001
BI00B32CH    @SJ22113SMW    20221012181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000010000000010000FN00000000020221101000010000NNM   20220906103927    1W    00000050000001529500000000032CH    SJSAMIJF000000000000QS429001
BI00B32CH    @SJ22114SMW    20221020181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000009000000009000FN00000000020221101000009000NNM   20220906103927    1W    00000050000001529500000000032CH    SJSAMIJF000000000000QS12A001
BI00B32CH    @SJ22115SMW    20221027181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000010000000010000FN00000000020221101000010000NNM   20220906103927    1W    00000050000001529500000000032CH    SJSAMIJF000000000000QS22A001
BI00B32DG    RW2104A        202209291801W006930              IVSSH 0.35F B            CCN000030000000030000FN00000000020221001000030000NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229003
BI00B32DG    RW2104A        202209291801W00695U              IVSSH 0.35F BE           CCN000032500000032500FN00000000020221001000032500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229004
BI00B32DG    RW2104A        202209291801W006960              IVSSH 0.35F G            CCN000015000000015000FN00000000020221001000015000NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229005
BI00B32DG    RW2104A        202209291801W006990              IVSSH 0.35F L            CCN000007500000007500FN00000000020221001000007500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229006
BI00B32DG    RW2104A        202209291801W006961              IVSSH 0.35F LG           CCN000007500000007500FN00000000020221001000007500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229007
BI00B32DG    RW2104A        202209291801W006952              IVSSH 0.35F P            CCN000007500000007500FN00000000020221001000007500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229008
BI00B32DG    RW2104A        202209291801W006991              IVSSH 0.35F SB           CCN000007500000007500FN00000000020221001000007500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229009
BI00B32DG    RW2104A        202209291801W006992              IVSSH 0.35F V            CCN000032500000032500FN00000000020221001000032500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229010
BI00B32DG    RW2104A        202209291801W006940              IVSSH 0.35F W            CCN000012500000012500FN00000000020221001000012500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229011
BI00B32DG    RW2104A        202209291801W006943              IVSSH 0.35F W/B          CCN000037500000037500FN00000000020221001000037500NNE   20220906152609    1W    00000250000000452000000000032DG    BFSAIBF 000000000000GS229012
BI00B32DG    RW2104A        202209291801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020221001000003600NNE   20220906152609    1W    00000180000000625000000000032DG    BFSAIBF 000000000000GS229001
BI00B32DG    RW2104A        202209291801W003940              IVSSH 0.5F W             CCN000018000000018000FN00000000020221001000018000NNE   20220906152609    1W    00000180000000625000000000032DG    BFSAIBF 000000000000GS229002
BI00B32G7    @JW2210D MW    20220922181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000003150000003150FN00000000020221001000003150NNE   20220906135543    1W    00000045000001713700000000032G7    JIJAI   000000000000JE129001
BI00B32G7    JW22114 MW     2022110318007703952              AVSS 0.5F P              CCN000001500000001500FN00000000020221101000001500NNM   20220906140341    1W    00000150000000674000000000032G7    JIJAI   000000000000JA32A025
BI00B32G7    JW22111 MW     2022101218007703990              AVSS 0.5F L              CCN000007500000007500FN00000000020221101000007500NNM   20220906140341    1W    00000150000000674000000000032G7    JIJAI   000000000000JA429023
BI00B32G7    JW22112 MW     2022102018007703990              AVSS 0.5F L              CCN000003000000003000FN00000000020221101000003000NNM   20220906140341    1W    00000150000000674000000000032G7    JIJAI   000000000000JA12A025
BI00B32G7    JW22113 MW     2022102718007703990              AVSS 0.5F L              CCN000001500000001500FN00000000020221101000001500NNM   20220906140341    1W    00000150000000674000000000032G7    JIJAI   000000000000JA22A024
BI00B32G7    JW22114 MW     2022110318007703990              AVSS 0.5F L              CCN000003000000003000FN00000000020221101000003000NNM   20220906140341    1W    00000150000000674000000000032G7    JIJAI   000000000000JA32A024
BI00B32G7    @JW22111 MW    20221012181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000058050000058050FN00000000020221101000058050NNM   20220906140334    1W    00000045000001713700000000032G7    JIJAI   000000000000JA429007
BI00B32G7    @JW22112 MW    20221020181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000019800000019800FN00000000020221101000019800NNM   20220906140334    1W    00000045000001713700000000032G7    JIJAI   000000000000JA12A007
BI00B32G7    @JW22113 MW    20221027181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000019350000019350FN00000000020221101000019350NNM   20220906140334    1W    00000045000001713700000000032G7    JIJAI   000000000000JA22A007
BI00B32G7    @JW22114 MW    20221103181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000019350000019350FN00000000020221101000019350NNM   20220906140334    1W    00000045000001713700000000032G7    JIJAI   000000000000JA32A007
BI00B32G7    @JW22111 MW    20221012181AD2008ZZ              CIVUSAS-S 0.5X2 B        CCN000022400000022400FN00000000020221101000022400NNM   20220906140334    1W    00000040000002028000000000032G7    JIJAI   000000000000JA429006
BI00B32G7    @JW22112 MW    20221020181AD2008ZZ              CIVUSAS-S 0.5X2 B        CCN000008000000008000FN00000000020221101000008000NNM   20220906140334    1W    00000040000002028000000000032G7    JIJAI   000000000000JA12A006
BI00B32G7    @JW22113 MW    20221027181AD2008ZZ              CIVUSAS-S 0.5X2 B        CCN000008400000008400FN00000000020221101000008400NNM   20220906140334    1W    00000040000002028000000000032G7    JIJAI   000000000000JA22A006
BI00B32G7    @JW22114 MW    20221103181AD2008ZZ              CIVUSAS-S 0.5X2 B        CCN000008400000008400FN00000000020221101000008400NNM   20220906140334    1W    00000040000002028000000000032G7    JIJAI   000000000000JA32A006
BI00B32G7    @JW22111 MW    20221012181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000000600000000600FN00000000020221101000000600NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA429008
BI00B32G7    @JW22112 MW    20221020181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000003300000003300FN00000000020221101000003300NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA12A008
BI00B32G7    @JW22113 MW    20221027181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000003600000003600FN00000000020221101000003600NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA22A008
BI00B32G7    @JW22114 MW    20221103181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000003300000003300FN00000000020221101000003300NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA32A008
BI00B32G7    @JW22112 MW    20221020181E48024ZZ              CAVSAS-S 0.5X2 GY/R      CCN000002100000002100FN00000000020221101000002100NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA12A009
BI00B32G7    @JW22113 MW    20221027181E48024ZZ              CAVSAS-S 0.5X2 GY/R      CCN000002400000002400FN00000000020221101000002400NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA22A009
BI00B32G7    @JW22114 MW    20221103181E48024ZZ              CAVSAS-S 0.5X2 GY/R      CCN000002700000002700FN00000000020221101000002700NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA32A009
BI00B32G7    @JW22111 MW    20221012181E48032ZZ              CAVSAS-S 0.3X2 GY/P      CCN000002800000002800FN00000000020221101000002800NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA429010
BI00B32G7    @JW22112 MW    20221020181E48032ZZ              CAVSAS-S 0.3X2 GY/P      CCN000001400000001400FN00000000020221101000001400NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA12A011
BI00B32G7    @JW22113 MW    20221027181E48032ZZ              CAVSAS-S 0.3X2 GY/P      CCN000001750000001750FN00000000020221101000001750NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA22A011
BI00B32G7    @JW22114 MW    20221103181E48032ZZ              CAVSAS-S 0.3X2 GY/P      CCN000001400000001400FN00000000020221101000001400NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA32A011
BI00B32G7    @JW22111 MW    20221012181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000025550000025550FN00000000020221101000025550NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA429011
BI00B32G7    @JW22112 MW    20221020181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000009800000009800FN00000000020221101000009800NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA12A012
BI00B32G7    @JW22113 MW    20221027181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000009450000009450FN00000000020221101000009450NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA22A012
BI00B32G7    @JW22114 MW    20221103181E48040ZZ              CAVSAS-S 0.3X2 GY/V      CCN000009450000009450FN00000000020221101000009450NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA32A012
BI00B32G7    @JW22111 MW    20221012181E48060ZZ              CAVSAS-S 0.5X2 GY/V      CCN000005700000005700FN00000000020221101000005700NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA429009
BI00B32G7    @JW22112 MW    20221020181E48060ZZ              CAVSAS-S 0.5X2 GY/V      CCN000001800000001800FN00000000020221101000001800NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA12A010
BI00B32G7    @JW22113 MW    20221027181E48060ZZ              CAVSAS-S 0.5X2 GY/V      CCN000002100000002100FN00000000020221101000002100NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA22A010
BI00B32G7    @JW22114 MW    20221103181E48060ZZ              CAVSAS-S 0.5X2 GY/V      CCN000001800000001800FN00000000020221101000001800NNM   20220906140334    1W    00000030000002561000000000032G7    JIJAI   000000000000JA32A010
BI00B32G7    @JW22112 MW    20221020181E48078ZZ              CAVSAS-S 0.3X2 W/R       CCN000000350000000350FN00000000020221101000000350NNM   20220906140334    1W    00000035000002008700000000032G7    JIJAI   000000000000JA12A013
BI00B32G7    @JW22111LMW    20221012181AD2020ZZ              CIVUSAS-S 0.5X2 B(R,G)   CCN000006800000006800FN00000000020221101000006800NNM   20220906140339    1W    00000040000002028000000000032G7    JIJAI   000000000000JL429001
BI00B32G7    @JW22112LMW    20221020181AD2020ZZ              CIVUSAS-S 0.5X2 B(R,G)   CCN000002000000002000FN00000000020221101000002000NNM   20220906140339    1W    00000040000002028000000000032G7    JIJAI   000000000000JL12A001
BI00B32G7    @JW22113LMW    20221027181AD2020ZZ              CIVUSAS-S 0.5X2 B(R,G)   CCN000002000000002000FN00000000020221101000002000NNM   20220906140339    1W    00000040000002028000000000032G7    JIJAI   000000000000JL22A001
BI00B32G7    @JW22114LMW    20221103181AD2020ZZ              CIVUSAS-S 0.5X2 B(R,G)   CCN000002000000002000FN00000000020221101000002000NNM   20220906140339    1W    00000040000002028000000000032G7    JIJAI   000000000000JL32A001
BI00B32G7    @JW22111LMW    20221012181AD2021ZZ              CIVUSAS-S 0.35X2 B(L,GY) CCN000008100000008100FN00000000020221101000008100NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL429002
BI00B32G7    @JW22112LMW    20221020181AD2021ZZ              CIVUSAS-S 0.35X2 B(L,GY) CCN000003600000003600FN00000000020221101000003600NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL12A002
BI00B32G7    @JW22113LMW    20221027181AD2021ZZ              CIVUSAS-S 0.35X2 B(L,GY) CCN000003600000003600FN00000000020221101000003600NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL22A002
BI00B32G7    @JW22114LMW    20221103181AD2021ZZ              CIVUSAS-S 0.35X2 B(L,GY) CCN000003150000003150FN00000000020221101000003150NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL32A002
BI00B32G7    @JW22111LMW    20221012181AD2022ZZ              CIVUSAS-S 0.35X2 B(R,G)  CCN000000900000000900FN00000000020221101000000900NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL429003
BI00B32G7    @JW22112LMW    20221020181AD2022ZZ              CIVUSAS-S 0.35X2 B(R,G)  CCN000000900000000900FN00000000020221101000000900NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL12A003
BI00B32G7    @JW22113LMW    20221027181AD2022ZZ              CIVUSAS-S 0.35X2 B(R,G)  CCN000000450000000450FN00000000020221101000000450NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL22A003
BI00B32G7    @JW22114LMW    20221103181AD2022ZZ              CIVUSAS-S 0.35X2 B(R,G)  CCN000000450000000450FN00000000020221101000000450NNM   20220906140339    1W    00000045000001714000000000032G7    JIJAI   000000000000JL32A003
BI00B32G7    JW22111MMW     202210121801W003930              IVSSH 0.5F B             CCN000005400000005400FN00000000020221101000005400NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM429032
BI00B32G7    JW22112MMW     202210201801W003930              IVSSH 0.5F B             CCN000003600000003600FN00000000020221101000003600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM12A034
BI00B32G7    JW22113MMW     202210271801W003930              IVSSH 0.5F B             CCN000003600000003600FN00000000020221101000003600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM22A032
BI00B32G7    JW22114MMW     202211031801W003930              IVSSH 0.5F B             CCN000003600000003600FN00000000020221101000003600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM32A035
BI00B32G7    JW22112MMW     202210201801W003940              IVSSH 0.5F W             CCN000001800000001800FN00000000020221101000001800NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM12A038
BI00B32G7    JW22113MMW     202210271801W003940              IVSSH 0.5F W             CCN000001800000001800FN00000000020221101000001800NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM22A036
BI00B32G7    JW22114MMW     202211031801W003940              IVSSH 0.5F W             CCN000001800000001800FN00000000020221101000001800NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM32A039
BI00B32G7    JW22111MMW     202210121801W003943              IVSSH 0.5F W/B           CCN000021600000021600FN00000000020221101000021600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM429035
BI00B32G7    JW22112MMW     202210201801W003943              IVSSH 0.5F W/B           CCN000012600000012600FN00000000020221101000012600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM12A039
BI00B32G7    JW22113MMW     202210271801W003943              IVSSH 0.5F W/B           CCN000012600000012600FN00000000020221101000012600NNM   20220906140343    1W    00000180000000625000000000032G7    JIJAI   000000000000JM22A037
