BI00B32G7    JW2211BMMW     202210061801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020221101000002500NNE   20220919111446    1W    00000250000000452000000000032G7    JIJAI   000000000000JS329001
BI00B32H2    TAW210Q        20221007180D0204190              AVSSH 1.25F L            CCN000000800000000800FN00000000020221001000000800NNE   20220919102741    1W    00000080000001458000000000032H2    HVYHV   000000000000UR329004
BI00B32H2    TAW210R        20221007180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020221001000001500NNE   20220919102742    1W    00000150000000689000000000032H2    HVYHV   000000000000US329007
BI00B32H2    TAW210R        20221007180D0203961              AVSSH 0.5F LG            CCN000001500000001500FN00000000020221001000001500NNE   20220919102742    1W    00000150000000689000000000032H2    HVYHV   000000000000US329008
BI00B32H2    TAW210R        20221007180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020221001000001500NNE   20220919102742    1W    00000150000000689000000000032H2    HVYHV   000000000000US329009
BI00B32H2    TAW210R        20221007180D0204170              AVSSH 1.25F Y            CCN000000800000000800FN00000000020221001000000800NNE   20220919102742    1W    00000080000001458000000000032H2    HVYHV   000000000000US329010
BI00B32H2    @TAW210R       20221007181AD2023ZZ              CIVUSAS-S 0.13X2 B       CCN000001200000001200FN00000000020221001000001200NNE   20220919101238    1W    00000060000001031100000000032H2    HVYHV   000000000000UN329001
BI00B32H2    TAW211E        2022101218000004530              AV 8 B                   CCN000000300000000300FN00000000020221101000000300NNE   20220919102745    1W    00000010000010466200000000032H2    HVYHV   000000000000UE429025
BI00B32H2    TAW211E        20221012180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020221101000001500NNE   20220919102745    1W    00000150000000689000000000032H2    HVYHV   000000000000UE429023
BI00B32H2    TAW211E        20221012180D0203970              AVSSH 0.5F Y             CCN000001500000001500FN00000000020221101000001500NNE   20220919102745    1W    00000150000000689000000000032H2    HVYHV   000000000000UE429024
BI00B32H2    @TAW211E       20221012181AD2023ZZ              CIVUSAS-S 0.13X2 B       CCN000003000000003000FN00000000020221101000003000NNE   20220919101240    1W    00000060000001031100000000032H2    HVYHV   000000000000UE429001
BI00B32H2    @TAW211E       20221012181AD2024ZZ              CIVUSAS-S 0.13X3 B       CCN000001000000001000FN00000000020221101000001000NNE   20220919101240    1W    00000050000001297300000000032H2    HVYHV   000000000000UE429002
BI00B32H2    @TAW211E       20221012181AD2026ZZ              CIVUSAS-S 0.13X6 B       CCN000000300000000300FN00000000020221101000000300NNE   20220919101240    1W    00000030000002258300000000032H2    HVYHV   000000000000UE429003
BI00B32H2    TAW211F        20221021180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020221101000001500NNE   20220919110545    1W    00000150000000689000000000032H2    HVYHV   000000000000UF12A004
