BI00A1200    O022K50439     202209277288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FY00000288020221101000000000NNED0020220927154250    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    #H322L50213    202211247174-1760-50             CAP                      CCN000030000000030000FN00000000020221201000030000NNE   20220927121701    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    2399T52A09     202211037116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020221201000030000NNM   20220927121701    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52A10     202211107116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020221201000030000NNM   20220927121701    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52A11     202211177116-4100-02             TERMINAL                 CCN000030000000030000FN00000000020221201000030000NNM   20220927121701    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52A09     202211037116-4111-02             TERMINAL                 CCN000022500000022500FN00000000020221201000022500NNM   20220927121701    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52A10     202211107116-4111-02             TERMINAL                 CCN000022500000022500FN00000000020221201000022500NNM   20220927121701    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52A11     202211177116-4111-02             TERMINAL                 CCN000015000000015000FN00000000020221201000015000NNM   20220927121701    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52A09     202211037116-4112-02             TERMINAL                 CCN000066000000066000FN00000000020221201000066000NNM   20220927121701    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52A10     202211107116-4112-02             TERMINAL                 CCN000060000000060000FN00000000020221201000060000NNM   20220927121701    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52A11     202211177116-4112-02             TERMINAL                 CCN000060000000060000FN00000000020221201000060000NNM   20220927121701    4P0P  0000060000000045000000073821200    YCYC    006400630015
