BI00B1200    7504T220927    202210207340-9316-0W             J/B ASS'Y                CCN000000100000000100FN00000000020221001000000100NNED0120220928122525    4J0J  0000000100000053400000072371200    YCYC    005400370024
BI00B1200    #7242T52A05    202210207187-3356                JOINT CONNECTOR          CCN000004800000004800FN00000000020221101000004800NNE   20220928122525    2F0F  0000012000000075960000102441200    YCYC    005600390040
BI00B1200    #7242T52A05    202210207187-3358-30             JOINT CONNECTOR          CCN000003600000003600FN00000000020221101000003600NNE   20220928122525    2F0F  0000012000000067320000094041200    YCYC    005600390040
BI00B1200    #7242T52A05    202210207187-3359-60             JOINT CONNECTOR          CCN000003600000003600FN00000000020221101000003600NNE   20220928122525    2F0F  0000012000000076320000103041200    YCYC    005600390040
BI00B1200    #7242T52A05    202210207187-3360                JOINT CONNECTOR          CCN000002400000002400FN00000000020221101000002400NNE   20220928122525    2F0F  0000012000000075960000102681200    YCYC    005600390040
BI00B1200    #7242T52A06    202210277187-3356                JOINT CONNECTOR          CCN000004800000004800FN00000000020221101000004800NNE   20220928122525    2F0F  0000012000000075960000102441200    YCYC    005600390040
BI00B1200    #7242T52A06    202210277187-3358-30             JOINT CONNECTOR          CCN000002400000002400FN00000000020221101000002400NNE   20220928122525    2F0F  0000012000000067320000094041200    YCYC    005600390040
BI00B1200    #7242T52A06    202210277187-3359-60             JOINT CONNECTOR          CCN000003600000003600FN00000000020221101000003600NNE   20220928122525    2F0F  0000012000000076320000103041200    YCYC    005600390040
BI00B1200    7360T52A04     202210207196-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020221101000022500NNE   20220928122525    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    7360T52A04     202210207196-1103-02             TERMINAL                 CCN000022500000022500FN00000000020221101000022500NNE   20220928122525    4P0P  0000225000000042980000071501200    YCYC    006400630015
BI00B1200    7360T52A04     202210207196-1104-02             TERMINAL                 CCN000157500000157500FN00000000020221101000157500NNE   20220928122525    4P0P  0000225000000044100000072621200    YCYC    006400630015
BI00B1200    7360T52A04     202210207196-1934-02             TERMINAL FEMALE          CCN000019500000019500FN00000000020221101000019500NNE   20220928122525    4P0P  0000195000000056160000084681200    YCYC    006400630015
BI00B1200    7360T52A04     202210207196-1935-02             TERMINAL FEMALE          CCN000018000000018000FN00000000020221101000018000NNE   20220928122525    4P0P  0000180000000053460000081981200    YCYC    006400630015
BI00B1200    7360T52A04     202210207288-3338-30             HOUSING MALE             CCN000003000000003000FN00000000020221101000003000NNE   20220928122525    4N0N  0000015000000086610000101201200    YCYC    005400370024
BI00B1200    7360T52A04     202210207288-3340-30             HOUSING MALE             CCN000021000000021000FN00000000020221101000021000NNE   20220928122525    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    7360T52A04     202210207289-5979-30             HOUSING FEMALE ASS'Y     CCN000001512000001512FN00000000020221101000001512NNE   20220928122525    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    7360T52A04     202210207296-0784-02             TERMINAL ALUMINIUM       CCN000072000000072000FN00000000020221101000072000NNE   20220928122525    4P0P  0000240000000048000000076521200    YCYC    006400630015
BI00B1200    7360T52A04     202210207296-1020-02             TERMINAL ALUMINIUM       CCN000090000000090000FN00000000020221101000090000NNE   20220928122525    4P0P  0000225000000069980000098501200    YCYC    006400630015
BI00B1200    #7360T52A04    202210207172-5629-80             RUBBER STOPPER           CCN000020000000020000FN00000000020221101000020000NNE   20220928122525    2H0H  0000200000000006000000011111200    YCYC    004300270014
BI00B1200    #7360T52A04    202210207172-5630-40             RUBBER STOPPER           CCN000080000000080000FN00000000020221101000080000NNE   20220928122525    2H0H  0000200000000004400000009511200    YCYC    004300270014
BI00B1200    #7360T52A04    202210207172-5632-10             DUMMY PLUG               CCN000160000000160000FN00000000020221101000160000NNE   20220928122525    2H0H  0000200000000008040000013181200    YCYC    004300270014
BI00B1200    #7360T52A04    202210207173-3225-10             LIF LEVER                CCN000000800000000800FN00000000020221101000000800NNE   20220928122525    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    O023A50010     202212017116-4100-02             TERMINAL                 CCN000210000000210000FN00000000020221201000210000NNE   20220928122525    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00A1200    22A4TAPOP5779  202209307298-1868-80             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221001000002400NNE   20220928122525    4N0N  0000024000000102860000124351200    YCYC    005500360039
