BI00A1200    Y12I1602D      202210037288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020221001000001500NNEM0020220929160926    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52A17     202210277288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNMD0020220929141618    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A18     202210277288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNMD0020220929141634    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A19     202210277288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNMD0020220929141650    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A20     202210277288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNMD0020220929141705    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A21     202210207289-6547                HOUSING FEMALE ASS'Y     CCN000139200000139200FN00000000020221201000139200NNMD0020220929141726    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A22     202210277289-6547                HOUSING FEMALE ASS'Y     CCN000139200000139200FN00000000020221201000139200NNMD0020220929141744    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A23     202211037289-6547                HOUSING FEMALE ASS'Y     CCN000139200000139200FN00000000020221201000139200NNMD0020220929141802    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A21     202212017289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNMD0420220929120719    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52A22     202212227289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNMD0420220929120719    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52A23     202212297289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNMD0420220929120719    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52A24     202211107289-6547                HOUSING FEMALE ASS'Y     CCN000136800000136800FN00000000020221201000136800NNMD0020220929141817    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A24     202301127289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNMD0420220929120719    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    7504T220927    202210067340-9316-0W             J/B ASS'Y                CCN000000100000000100FN00000000020221001000000100NNED0120220929150354    4J0J  0000000100000053400000072371200    YCYC    005400370024
BI00A1200    TCG20220928-1  202210057298-1868-80             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221001000002400NNE   20220929120719    4N0N  0000024000000102860000124351200    YCYC    005500360039
BI00B1200    2399T52622     202210067289-9553-50             SEALED ASSY FEMALE       CCN000008820000008820FN00000000020220801000008820NNMQ0020220929162636    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B32AF    JTB2113        202210287116-4020                TERMINAL                 CCN000054000000000000FY00000000020221101000000000NNMQ0820220929165228    4P0P  00001350000000513000000798232AF    HBYHVTB 006400630015
BI00B32AG    #XG2211AGMW    202210287158-3017                RUBBER STOPPER           CCN000010000000010000FN00000000020221101000010000NNE   20220929120719    2C0C  00001000000000375500000435032AG    XGXGY   002700430014
BI00B32AG    #XG2211FLMW    202210287157-3950-80             SEAL RUBBER              CCN000080000000080000FN00000000020221101000080000NNE   20220929120719    2C0C  00004000000000154000000440332AG    XGXGY   002700430014
BI00B32AG    XG2212BLMW     202211117017-1180-02             TERMINAL                 CCN000288000000288000FN00000000020221201000288000NNE   20220929120719    4P0P  00007200000001065600001229032AG    XGXGY   005100280028
BI00B32AG    XG2212BLMW     202211117017-1181-02             TERMINAL                 CCN000126000000126000FN00000000020221201000126000NNE   20220929120719    4P0P  00006300000001089900001266832AG    XGXGY   005100280028
BI00B32AG    XG2212BLMW     202211117017-1182-02             TERMINAL                 CCN000135000000135000FN00000000020221201000135000NNE   20220929120719    4P0P  00004500000001165500001318632AG    XGXGY   005100280028
BI00B32AG    XG2212BLMW     202211117116-4026                TERMINAL                 CCN000032000000032000FN00000000020221201000032000NNE   20220929120719    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    #XG2212BLMW    202211117158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020221201000020000NNE   20220929120719    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    XG2212BNMW     202211117116-4122-02             TERMINAL                 CCN000009000000009000FN00000000020221201000009000NNE   20220929120719    4P0P  00000450000000656600000950232AG    XGXGY   006400630015
BI00B32AG    XG23014CMW     202212237B96-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020230101000022500NNM00020220929120719    4P0P  00002250000000558000000843232AG    XGXGY   006400630015
BI00B32AG    XG23014CMW     202212237C89-6868-30             SEALED ASSY FEMALE       CCN000010080000010080FN00000000020230101000010080NNM00020220929120719    4N0N  00000252000000839200001119232AG    XGXGY   005500360039
BI00B32AG    XG23014CMW     202212237116-4032                TERMINAL                 CCN000012000000012000FN00000000020230101000012000NNM00020220929120719    4P0P  00000600000000532800000818032AG    XGXGY   006400630015
